departamento,Doctorado,Especializacion,Maestria,Tecnologica,Universitaria
ANTIOQUIA,1596,2344,7251,104298,205054
ATLANTICO,298,205,2667,32999,87228
BOGOTA_DC,2215,1914,25431,157675,525511
BOLIVAR,118,0,1371,29123,41268
BOYACA,155,266,1666,13719,44897
CALDAS,477,438,3121,10105,31772
CAQUETA,22,61,372,1385,9502
CAUCA,123,204,960,13965,31785
CESAR,0,32,184,10059,25520
CORDOBA,9,8,431,3573,34989
CUNDINAMARCA,80,282,1460,34719,40588
CHOCO,0,0,182,815,11785
HUILA,29,97,847,11524,25640
GUAJIRA,1,0,547,5345,14479
MAGDALENA,10,0,250,6554,25160
META,0,104,301,5162,23766
NARINIO,45,81,956,4723,34080
NORTE_DE_SANTANDER,0,627,1177,12750,54158
QUINDIO,26,225,361,9812,17741
RISARALDA,127,191,1746,12691,32966
SANTANDER,152,441,10720,40328,69546
SUCRE,0,30,81,2568,19781
TOLIMA,19,492,599,17272,27154
VALLE_DEL_CAUCA,697,1050,5276,48328,111712
ARAUCA,0,0,0,716,1687
CASANARE,0,0,6,1659,7187
PUTUMAYO,0,0,104,2885,1365
SAN_ANDRES_PROVIDENCIA,15,0,34,1273,51
AMAZONAS,11,0,98,322,318
GUAINIA,0,75,3,344,126
GUAVIARE,0,0,1,1472,643
VAUPES,0,0,26,126,37
VICHADA,0,0,0,463,93